id,name,sex,sexuality,birthyear,scholar,transfer,main workplace,value,type
abloh,Virgil Abloh,2,1,1980,2,3,USA,1,1
armani,Giorgio Armani,2,3,1934,2,NA,IT,2,1
audigier,Christian Audigier,2,1,1958,1,3,USA,1,1
bailey,Christopher Bailey,2,2,1971,3,2,GB,1,1
blazy,Matthieu Blazy,2,2,1984,3,4,F,NA,1
burch,Tory Burch,1,1,1966,3,3,USA,1,1
burton,Sarah Burton,1,1,1974,3,1,GB,1,1
cavalli,Roberto Cavalli,2,1,1940,3,1,IT,1,1
chiuri,Maria Grazia Chiuri,1,1,1964,3,2,IT,1,1
costa,Francisco Costa,2,2,1961,3,2,BRA,1,1
dalmau,Custo Dalmau,2,2,1959,1,NA,SP,NA,1
dolce,Domenico Dolce,2,2,1958,2,1,IT,1,1
dominguez,Adolfo Dominguez,2,1,1950,3,NA,SP,NA,1
etro,Veronica Etro,1,NA,1974,3,NA,IT,NA,1
elkann,Lapo Elkann,2,1,1977,1,NA,IT,NA,1
emanuel,David Emanuel,2,1,1952,3,NA,WAL,1,1
ferretti,Alberta Ferretti,1,1,1950,2,NA,IT,NA,1
ford,Tom Ford,2,2,1961,3,1,USA,1,1
frank,Paul Frank ,2,1,1967,3,NA,USA,1,1
gabbana,Stefano Gabbana,2,2,1962,2,1,IT,2,1
galliano,John Galliano,2,2,1960,3,2,GB,1,1
gianni,Frida Gianni,1,1,1972,3,1,IT,1,1
gaultier,Jean P. Gaultier,2,2,1952,3,3,F,1,1
hardy,Don Ed Hardy,2,1,1945,1,NA,USA,NA,1
hilfiger,Tommy Hilfiger,2,1,1951,1,NA,USA,1,1
joop,Wolfgang Joop,2,3,1944,1,NA,D,1,1
klein,Calvin Klein,2,3,1942,3,NA,USA,1,1
lacroix,Christian Lacroix,2,1,1951,1,4,F,1,1
lagerfeld,Karl Lagerfeld,2,2,1933,2,3,D,1,1
lauren,Ralph Lauren,2,2,1939,1,NA,USA,2,1
mugler,Thierry Mugler,2,2,1949,1,NA,F,1,1
queen, Alexander McQueen,2,2,1969,2,2,USA,1,1
renta,Oscar De la Renta,2,1,1932,2,NA,DR,1,1
versace,Donatella Versace,1,1,1955,2,NA,IT,1,1
westwood,"Vivienne Westwood,",1,1,1941,2,NA,GB,1,1
williams,Pharell Williams,1,1,1973,1,1,USA,1,1
yama,Yohji Yamamoto,2,1,1943,3,NA,JAP,1,1
bellucci,Monica Bellucci,1,NA,NA,NA,NA,NA,NA,3
delevingne,Cara Delevingne,1,NA,NA,NA,NA,NA,NA,3
doillon,Lou Doillon,1,NA,NA,NA,NA,NA,NA,3
ellis,Stella Ellis,1,NA,NA,NA,NA,NA,NA,3
gaga,Lady Gaga,1,NA,NA,NA,NA,NA,NA,3
hill,Lauryn Hill,1,NA,NA,NA,NA,NA,NA,3
jenner,Kendall Jenner,1,NA,NA,NA,NA,NA,NA,3
kahlo,Frida Kahlo,1,NA,NA,NA,NA,NA,NA,3
